"","Species","Found","Dispersal"
"2","ficuspseudotrigona","TRUE","Zoochoric"
"3","doliocarpusdentatus","TRUE","Zoochoric"
"5","combretumsp","TRUE","Wind"
"6","ficusspsmall","TRUE","Zoochoric"
"8","gouanialupuloides","TRUE","Wind"
"9","sapiummarmieri","TRUE","Zoochoric"
"12","celtisiguanaea","TRUE","Zoochoric"
"25","combretumassimile","TRUE","Wind"
"27","manilkarainundata","TRUE","Zoochoric"
"28","bauhiniasp1","TRUE","Ballistic"
"30","hyeronimalaxiflora","TRUE","Zoochoric"
"31","ficuskillipii","TRUE","Zoochoric"
"32","ficusspmedium","TRUE","Zoochoric"
"33","ficusperforata","TRUE","Zoochoric"
"34","ficuscitrifolia","TRUE","Zoochoric"
"35","xylosmasp2","TRUE","Zoochoric"
"36","ficusmathewsii","TRUE","Zoochoric"
"37","ficussp","TRUE","Zoochoric"
"39","drypetesspmedium","TRUE","Zoochoric"
"40","ficusypsilophlebia","TRUE","Zoochoric"
"43","pipersp","TRUE","Zoochoric"
"44","lunaniaparvifolia","TRUE","Zoochoric"
"48","cordiarf12097","TRUE","Zoochoric"
"52","ficuspertusa","TRUE","Zoochoric"
"53","ficuscfsanguinosa","TRUE","Zoochoric"
"55","psittacanthuscucullaris","TRUE","Zoochoric"
"56","cissuspseudosicyoides","TRUE","Zoochoric"
"58","tetraceraparviflora","TRUE","Zoochoric"
"63","ficustrigona","TRUE","Zoochoric"
"64","caryodaphopsisfosterii","TRUE","Zoochoric"
"66","justiciaappendiculata","TRUE","Ballistic"
"67","iresinehassleriana","TRUE","Wind"
"71","pouroumacecropiaefolia","TRUE","Zoochoric"
"77","psychotriaviridis","TRUE","Zoochoric"
"79","trichostigmaoctandra","TRUE","Zoochoric"
"80","maynaodorata","TRUE","Zoochoric"
"83","paulliniahystrix","TRUE","Zoochoric"
"84","pouteriaprocera","TRUE","Zoochoric"
"85","uncariasp","TRUE","Wind"
"89","ficussp1","TRUE","Zoochoric"
"92","perabenensis","TRUE","Zoochoric"
"93","lueheacymulosa","TRUE","Wind"
"95","stigmaphyllonsp1","TRUE","Wind"
"96","marcgraviasp","TRUE","Zoochoric"
"98","drypetesamazonica","TRUE","Zoochoric"
"102","machaeriumsp2","TRUE","Wind"
"106","hyperbaenadominguensis","TRUE","Zoochoric"
"109","anomospermumgrandifolium","TRUE","Zoochoric"
"110","acaciasp1","TRUE","Wind"
"112","acaciasp","TRUE","ï..N"
"116","odontocaryadiplobotria","TRUE","Zoochoric"
"118","securidacavolubilis","TRUE","Wind"
"119","rheediabrasiliensis","TRUE","Zoochoric"
"125","brunfelsiasp","TRUE","Zoochoric"
"126","bignoniaceaesp27","TRUE","Wind"
"129","thinouiaobliqua","TRUE","Wind"
"131","guareakunthiana","TRUE","Zoochoric"
"136","attaleabutyracea","TRUE","Zoochoric"
"141","anthodondecussatum","TRUE","Wind"
"142","stigmaphyllonsp2","TRUE","Wind"
"145","cissusulmifolia","TRUE","Zoochoric"
"147","cissuserosa","TRUE","Zoochoric"
"150","combretumsp1","TRUE","Wind"
"151","machaeriumsp1","TRUE","Wind"
"153","hiraeasp1","TRUE","Wind"
"155","mikaniasp","TRUE","Zoochoric"
"156","mascagniamacrophylla","TRUE","Wind"
"168","fabaceaesp2","TRUE","Zoochoric"
"169","mascagniadivaricata","TRUE","Wind"
"174","prestoniasp2","TRUE","Wind"
"179","coussapoasp","TRUE","Zoochoric"
"182","sloaneaobtusifolia","TRUE","Zoochoric"
"185","swieteniamacrophylla","TRUE","Wind"
"186","ceibasamauma","TRUE","Wind"
"190","calophyllumbrasiliense","TRUE","Zoochoric"
"191","ficusspbig","TRUE","Zoochoric"
"193","cecropiaceasp1","TRUE","Zoochoric"
"198","byttneriaasterotricha","TRUE","Ballistic"
"207","ficusschulttesi","TRUE","Zoochoric"
"231","phytolaccasp","TRUE","Zoochoric"
"233","bignoniaceaesp29","TRUE","Wind"
"237","leretiacordata","TRUE","Zoochoric"
"239","bauhiniaglabra","TRUE","Ballistic"
"242","ficusinsipida","TRUE","Zoochoric"
"245","ingaspsmall","TRUE","Zoochoric"
"248","bignoniaceaesp24","TRUE","Wind"
"255","bauhiniasp","TRUE","Ballistic"
"259","rolliniapavonii","TRUE","Zoochoric"
"268","anomospermumcloranthum","TRUE","Zoochoric"
"271","cedrelaodorata","TRUE","Wind"
"274","cecropiasp","TRUE","Zoochoric"
"275","bignoniaceaesp2","TRUE","Wind"
"276","ingasp","TRUE","Zoochoric"
"277","bignoniaceaesp1","TRUE","Wind"
"286","terminaliaamazonia","TRUE","Wind"
"291","strychnoserichsonii","TRUE","Zoochoric"
"300","bauhiniasp2","TRUE","Ballistic"
"333","tanaeciumnocturnum","TRUE","Wind"
"341","bignoniaceaesp4","TRUE","Wind"
"351","sapotaceaesp1","TRUE","Zoochoric"
"354","ingaspbig","TRUE","Zoochoric"
"356","acaciasp2","TRUE","Wind"
"357","bignoniaceaesp22","TRUE","Wind"
"359","ficusregularis","TRUE","Zoochoric"
"360","cecropiatessmannii","TRUE","Zoochoric"
"361","ficussp3","TRUE","Zoochoric"
"362","cecropiasp1","TRUE","Zoochoric"
"363","rolliniacentrantha","TRUE","Zoochoric"
"364","cecropiaspbrown","TRUE","Zoochoric"
"365","perebeaguianensis","TRUE","Zoochoric"
"370","mascagniasp","TRUE","Wind"
"376","bignoniaceaesp37","TRUE","Wind"
"389","metalepisalbiflora","TRUE","Wind"
"391","bignoniaceaesp20","TRUE","Wind"
"394","annonaneglecta","TRUE","Zoochoric"
"397","hiraeasp","TRUE","Wind"
"412","bignoniaceaesp19","TRUE","Wind"
"432","bignoniaceaesp6","TRUE","Wind"
"458","bignoniaceaesp8","TRUE","Wind"
