CODIGO,Dispersal
MENDGL,Animal
MENDRU,Animal
MEND_G,Animal
MEND_C,Animal
MEND_D,Animal
MEND_H,Animal
MEND_M,Animal
MEND_N,Animal
MEND_O,Animal
MEND_R,Animal
MEND_S,Animal
MEND_T,Animal
AST2CO,Wind
SPONMO,Animal
TAPIGU,Animal
ROLLCU,Animal
ROLLPA,Animal
GUATG2,Animal
ANNOMO,Animal
ROLLCH,Animal
ROLLPI,Animal
ANN_AI,Animal
ANN_AN,Animal
ANN_AO,Animal
ANN_BE,Animal
ANN_E,Animal
ANN_N,Animal
ANN_Q,Animal
CREMBR,Animal
DUGUCO,Animal
DUGUHA,Animal
DUGUQU,Animal
DUGUSP,Animal
GUATG1,Animal
GUATT2,Animal
GUATMU,Animal
GUATP2,Animal
GUATRO,Animal
GUATP1,Animal
GUAT_E,Animal
GUAT_F,Animal
GUAT_J,Animal
GUAT_O,Animal
GUAT_R,Animal
GUATCA,Animal
OXANME,Animal
OXANRI,Animal
PSE2DI,Animal
RUIZOV,Animal
TRI3TR,Animal
UNONFL,Animal
UNON_C,Animal
UNONVE,Animal
XYL1CU,Animal
XYL1LI,Animal
APO_OF,Wind
ASPIBL,Wind
ASPIDA,Wind
ASPIGR,Wind
ASPIRI,Wind
FOSTAC,Wind
FOSTAF,Wind
HIMASU,Wind
LACMLA,Animal
MAN_A,Wind
MAN_B,Wind
ODONPU,Wind
ODON_A,Wind
ODON_B,Wind
ODON_C,Wind
RAUVVE,Animal
TAB2SA,Animal
APO_AQ,Wind
ANTHBO,Animal
ANTHGR,Animal
ANTHSI,Animal
ANTH_G,Animal
ANTH_H,Animal
ANTH_J,Animal
DIEF_A,Animal
DRACLO,Animal
HETE2_A,Animal
MONSOB,Animal
PHILPL,Animal
PHYLLE,Animal
PHIL_A,Animal
PHIL_B,Animal
SYN1_A,Animal
DEN2AR,Animal
DEN2GR,Animal
DEN2QU,Animal
SCH2MO,Animal
AIPHUL,Animal
AST1CH,Animal
AST1MU,Animal
ATTAIN,Animal
ATTAMA,Animal
BACTCO,Animal
BACTMA,Animal
BACTSI,Animal
DESMOR,Animal
EUTEPR,Animal
GEONCO,Animal
GEONBR,Animal
GEON_A,Animal
GEONMA,Animal
GEONST,Animal
GEONTR,Animal
HYOSEL,Animal
IRIADE,Animal
MAURFL,Animal
OENOBA,Animal
OENOMA,Animal
PHYTTE,Animal
PRESSC,Animal
SOCREX,Animal
WETTMA,Animal
ARIS_A,Wind
ARIS_F,Wind
ARIS_H,Wind
ARIS_K,Wind
ARIS_L,Wind
ARIS_M,Wind
METAAL,Wind
ASCL_A,Wind
AST_C,Wind
AST_D,Wind
AST_E,Wind
AST_G,Wind
AST_H,Wind
AST_Q,Wind
AST_R,Wind
AST_S,Wind
MIKADO,Wind
AST_B,Wind
AMPHPA,Wind
AMPH_A,Wind
ANEMCH,Wind
ANEM_A,Wind
ARRA_A,Wind
ARRA_B,Wind
ARRA_T,Wind
BIG_A,Wind
BIG_AE,Wind
BIG_AK,Wind
BIG_AM,Wind
BIG_AO,Wind
BIG_AP,Wind
BIG_AR,Wind
BIG_AS,Wind
BIG_AW,Wind
BIG_AZ,Wind
BIG_B,Wind
BIG_BA,Wind
BIG_BB,Wind
BIG_BL,Wind
BIG_BM,Wind
BIG_BQ,Wind
BIG_C,Wind
BIG_E,Wind
BIG_G,Wind
BIG_N,Wind
BIG_S,Wind
BIG_V,Wind
BIG_W,Wind
BIG_X,Wind
BIG_Y,Wind
CAL2LA,Wind
BIG_F,Wind
DIS1_A,Wind
JAC1CO,Wind
JAC1GL,Wind
MACF_A,Wind
BIG_AJ,Wind
PARAPY,Wind
PITH_A,Wind
SCHLSP,Animal
BIG_BO,Wind
CEIBPE,Wind
CEIBSA,Wind
ERIOGL,Wind
MATIBR,Animal
MATICO,Animal
MATILO,Animal
MATIMA,Animal
MATIO1,Animal
MATIO2,Animal
OCHRPY,Wind
PACHIN,Animal
PACHAQ,Animal
QUARSE,Animal
CORDCH,Animal
CORDHE,Animal
CORDNO,Animal
CORD_A,Animal
COR_B,Animal
TOUR_B,Animal
TOURTA,Animal
TOURUL,Animal
BRO_E,Wind
CREPRH,Animal
DACRGO,Animal
PROTAM,Animal
PROTAR,Animal
PROTBR,Animal
PROTGL,Animal
PROTGR,Animal
PROTGU,Animal
PROTNO,Animal
PROTSA,Animal
TET2PA,Animal
TRATAS,Animal
EPIP_A,Animal
CENTLO,Animal
CAPPDE,Animal
CAPPOS,Animal
CAPPSO,Animal
JAC2DI,Animal
ANTHAM,Animal
CAR4GL,Animal
CAR1_A,Animal
CECRS1,Animal
CECRFI,Animal
