"","CODIGO","Syndrome"
"1","VISMBA","<2cm"
"2","PROTNO","<2cm"
"4","VISMMA","<2cm"
"5","BYRSDO","<2cm"
"6","CECRS2","<2cm"
"10","CED2CA","wind"
"12","TAPIGU","<2cm"
"13","GUATT2","<2cm"
"14","ALC1TR","<2cm"
"16","QUALPA","wind"
"18","PSE3SU","wind"
"20","HIRTEX","<2cm"
"24","PROTAM","<2cm"
"26","RINOAP","ballistic"
"27","ACIDNI","ballistic"
"35","ESCHCO","terrestrial"
"37","CAS1P2","2 – 5 cm"
"39","SIPADE","<2cm"
"40","ESCHKI","terrestrial"
"43","CELTSC","<2cm"
"44","STYRGU","<2cm"
"49","AST2CO","<2cm"
"52","STERA1","terrestrial"
"55","TAPUJU","<2cm"
"62","BESLQU","<2cm"
"63","BRO2GR","terrestrial"
"65","CED1FI","wind"
"69","INGAAU","<2cm"
"70","CECRHE","<2cm"
"71","ASPIGR","wind"
"72","IRIADE","2 – 5 cm"
"74","SOCREX","2 – 5 cm"
"81","MARGNO","<2cm"
"85","GUATP2","<2cm"
"95","TURPOC","<2cm"
"96","CAL3BR","2 – 5 cm"
"99","STERFR","terrestrial"
"105","POURBI","<2cm"
"109","VIRODU","<2cm"
"111","MICOE1","<2cm"
"112","ACALCU","ballistic"
"117","VIROEL","<2cm"
"118","PROTBR","<2cm"
"119","MICRMI","2 – 5 cm"
"120","AST1CH",">5cm"
"121","TRI2PA","<2cm"
"123","THEOSU","2 – 5 cm"
"125","DIO2PS","2 – 5 cm"
"126","MOL1GR","wind"
"127","RINOVI","ballistic"
"128","MACHCU","wind"
"130","VANTGU",">5cm"
"131","UNONVE","<2cm"
"137","ERIOGL","wind"
"138","RINOLI","ballistic"
"141","PAUSTR","ballistic"
"146","COCCLA","<2cm"
"147","LINDPA","<2cm"
"148","DRYPVA","<2cm"
"149","FARACA","<2cm"
"150","SLOANE","<2cm"
"153","LOZAKL","<2cm"
"154","CAS1AT","<2cm"
"157","IRYAPA","<2cm"
"161","VIROMI","<2cm"
"168","SLOAG4","<2cm"
"170","NEEABA","<2cm"
"172","HYM2ST","wind"
"173","SPONMO","2 – 5 cm"
"174","ERY2SQ","<2cm"
"186","MOL2KI","<2cm"
"187","MARMBA","<2cm"
"188","MACHAR","wind"
"195","AIPHUL","<2cm"
"196","SAGORA","ballistic"
"197","APARCO","ballistic"
"198","LIC1IN","2 – 5 cm"
"199","TET4MA","<2cm"
"202","OTOBGL","2 – 5 cm"
"203","TRI2SE","<2cm"
"204","PROTGL","<2cm"
"205","CATHAC","2 – 5 cm"
"209","VER_A","<2cm"
"216","ASPIBL","wind"
"217","SCHIPA","wind"
"220","TESSHE","<2cm"
"223","CHEICO","2 – 5 cm"
"225","INGAR1","2 – 5 cm"
"226","MACHFL","wind"
"228","DUGUHA","terrestrial"
"230","GUARG3","<2cm"
"237","INGAU2","<2cm"
"239","OCOTMI","<2cm"
"240","HUERGL","<2cm"
"243","SIPABI","<2cm"
"247","MICOG1","<2cm"
"252","CORDCH","<2cm"
"253","DUROHI",">5cm"
"261","DRYPAM","<2cm"
"265","WETTMA","2 – 5 cm"
"266","POURMI","<2cm"
"268","INGAAA","<2cm"
"269","ALC2FL","<2cm"
"272","PARKMU","2 – 5 cm"
"278","MATIO1","2 – 5 cm"
"280","CECRS1","<2cm"
"285","GLOEEQ","<2cm"
"286","PROTGU","<2cm"
"288","COU4OR","<2cm"
"292","APEITI","terrestrial"
"293","NEEAPA","<2cm"
"299","HASSFL","<2cm"
"305","EUTEPR","<2cm"
"306","EUGEFE","2 – 5 cm"
"307","ANIBGU","2 – 5 cm"
"308","HIMASU","wind"
"313","TACHFO","wind"
"316","GUARKU","2 – 5 cm"
"318","COU3GU","wind"
"320","OENOBA","2 – 5 cm"
"323","MOURG2","<2cm"
"325","SALAAT","<2cm"
"330","MICOD2","<2cm"
"332","ANAXBR","ballistic"
"333","MICOMU","<2cm"
"334","GUATRO","<2cm"
"336","WITTST","wind"
"341","RHODKU","2 – 5 cm"
"342","CALYSP","<2cm"
"345","CECRME","<2cm"
"348","PARKBA","2 – 5 cm"
"350","DEN2AR","<2cm"
"352","INGATE","2 – 5 cm"
"354","LIC1LO","terrestrial"
"355","ESCHG1","terrestrial"
"357","TRI2EL","<2cm"
"362","TAB2SA","<2cm"
"364","INGABO","<2cm"
"365","CAL4ME","wind"
"366","INGAU1","<2cm"
"370","CABRCA","<2cm"
"373","PRESSC","<2cm"
"374","GENIAM","<2cm"
"376","RUDGMI","<2cm"
"380","LUNAPA","<2cm"
"383","THEOSP","2 – 5 cm"
"384","SWARAR","<2cm"
"389","ESCHP2","terrestrial"
"392","POUTP4","2 – 5 cm"
"394","PARKVE","2 – 5 cm"
"395","PIPEO1","<2cm"
"403","WARSCO","wind"
"404","VIROOB","2 – 5 cm"
"406","MOURG1","<2cm"
"409","SIM1PO","<2cm"
"412","SIPACU","<2cm"
"414","PLA1ST","wind"
"416","ESCHRU","terrestrial"
"420","GUARPT","<2cm"
"421","PALIGR","<2cm"
"424","ANNOMO",">5cm"
"425","DIALGU","<2cm"
"426","ESCHBR","terrestrial"
"436","BUCHPA","<2cm"
"437","INGA6C","2 – 5 cm"
"439","AMPELO","<2cm"
"443","MINQGU","2 – 5 cm"
"445","TET2PA","<2cm"
"448","CAR6OR","ballistic"
"449","COCCNI","<2cm"
"456","PROTSA","<2cm"
"457","DEN2QU","<2cm"
"458","MICOT2","<2cm"
"459","PSYCHU","<2cm"
"461","SCH2MO","<2cm"
"463","LIC1NE","terrestrial"
"465","TERM_A","wind"
"466","VIROFL","<2cm"
"467","RAUVVE","<2cm"
"471","MOL2TO","<2cm"
"475","MACHFI","wind"
"476","CUPALI","<2cm"
"480","EUGEM9","2 – 5 cm"
"481","MABESU","ballistic"
"482","CAR4GL",">5cm"
"485","HYM1OB",">5cm"
"486","ALLOPI","<2cm"
"487","MICOP7","<2cm"
"489","POURDE","<2cm"
"491","MICOG2","<2cm"
"493","TRI4AM","wind"
"494","GUATMU","<2cm"
"495","CECRFI","<2cm"
"497","ENDLTS","<2cm"
"498","INGAOE","2 – 5 cm"
"502","MABECO","ballistic"
"504","CAS1JA","<2cm"
"507","POUTRO","2 – 5 cm"
"511","INGAHE","<2cm"
"513","MICOP1","<2cm"
"514","INGALE","2 – 5 cm"
"515","GUSTLO","terrestrial"
"517","PARKNI","2 – 5 cm"
"519","ESENAM","terrestrial"
"523","PSE2DI","2 – 5 cm"
"524","COCCDE","<2cm"
"525","TRI2DE","<2cm"
"528","RICHRA","<2cm"
"529","ANTHAM","<2cm"
"533","NEEAGA","<2cm"
"537","OXANME","<2cm"
"539","SLOAOA","<2cm"
"542","ALLOAR","<2cm"
"543","TRI2QU","<2cm"
"544","LACIME","<2cm"
"547","NEEACO","<2cm"
"555","LIC1G2","terrestrial"
"563","MICOE2","<2cm"
"564","MOURMY","<2cm"
"568","TAPUPE","<2cm"
"570","OCHRPY","wind"
"572","XYL1CU","<2cm"
"578","TRI2SO","<2cm"
"583","LIC1AR","<2cm"
"585","PALINI","<2cm"
"591","LIC1H2","2 – 5 cm"
"592","SARCRO","<2cm"
"593","LIC2CA",">5cm"
"601","AGONGO","2 – 5 cm"
"603","CORDNO","<2cm"
"605","ZANTMA","terrestrial"
"606","TRI2PO","<2cm"
"620","PIPTAR","terrestrial"
"624","OCOTFL","2 – 5 cm"
"628","CHR2CO","2 – 5 cm"
"635","JAC1CO","wind"
"647","MAYNOD","<2cm"
"649","PERADU","ballistic"
"653","MYR1RO","<2cm"
"654","GRIANE","terrestrial"
"655","GEONMA","<2cm"
"657","DILKP1","2 – 5 cm"
"658","CEIBPE","wind"
"664","FARAQU","<2cm"
"669","PSYCRE","<2cm"
"689","HEISNI","<2cm"
"690","MICRME","2 – 5 cm"
"693","CREPRH","<2cm"
"695","SIPACE","<2cm"
"699","SLOAG1","<2cm"
"700","INGAC6","<2cm"
"701","DUSS_A","2 – 5 cm"
"707","ATTAMA","2 – 5 cm"
"712","SIM3CO","wind"
"720","INGAMA","<2cm"
"723","CREMBR","<2cm"
"729","ASPIRI","wind"
"747","EUGELA","<2cm"
