"","name","found","family"
"3","ficuspseudotrigona","TRUE","Moraceae"
"4","doliocarpusdentatus","TRUE","Dilleniaceae "
"5","iriarteadeltoidea","TRUE","Arecaceae"
"6","combretumsp","TRUE","Combretaceae"
"7","ficusspsmall","TRUE","Moraceae"
"8","calycophyllumspruceanum","TRUE","Rubiaceae"
"9","gouanialupuloides","TRUE","Rhamnaceae"
"10","sapiummarmieri","TRUE","Euphorbiaceae"
"11","neeacfmacrophyllaarbol11941","TRUE","Nyctaginaceae"
"12","trichiliaelegans","TRUE","Meliaceae"
"13","celtisiguanaea","TRUE","Cannabaceae"
"14","mendonciahirsuta","TRUE","Acanthaceae"
"15","rinoreaviridifolia","TRUE","Violaceae"
"16","lonchocarpusspiciflorus","TRUE","Fabaceae"
"17","marsdeniasp","TRUE","Apocynaceae"
"18","abutagrandifolia","TRUE","Menispermaceae"
"19","diospyrospavonii","TRUE","Ebenaceae"
"20","mollinediasp","TRUE","Monimiaceae"
"21","quiinaperuviana","TRUE","Quiinaceae"
"22","heisteriaacuminata","TRUE","Olacaceae"
"23","maytenusmagnifolia","TRUE","Celastraceae"
"24","malmeadielsiana","TRUE","Annonaceae"
"25","chamadoreapinatifrons","TRUE","Arecaceae"
"26","combretumassimile","TRUE","Combretaceae"
"27","ficusparaensis","TRUE","Moraceae"
"28","manilkarainundata","TRUE","Sapotaceae"
"29","bauhiniasp1","TRUE","Fabaceae"
"30","caraipadensifolia","TRUE","Calophyllaceae"
"31","hyeronimalaxiflora","TRUE","Euphorbiaceae"
"32","ficuskillipii","TRUE","Moraceae"
"33","ficusspmedium","TRUE","Moraceae"
"34","ficusperforata","TRUE","Moraceae"
"35","ficuscitrifolia","TRUE","Moraceae"
"36","xylosmasp2","TRUE","Salicaceae"
"37","ficusmathewsii","TRUE","Moraceae"
"38","ficussp","TRUE","Moraceae"
"39","pseudolmedialaevis","TRUE","Moraceae"
"40","drypetesspmedium","TRUE","Putranjivaceae"
"41","ficusypsilophlebia","TRUE","Moraceae"
"42","xylosmaintermedium","TRUE","Salicaceae"
"43","bactrissimplicifrons","TRUE","Arecaceae"
"44","pipersp","TRUE","Piperaceae"
"45","lunaniaparvifolia","TRUE","Salicaceae"
"46","duguetiaquitarensis","TRUE","Annonaceae"
"47","astrocaryummurumuru","TRUE","Arecaceae"
"48","hasseltiafloribunda","TRUE","Salicaceae"
"49","cordiarf12097","TRUE","Boraginaceae"
"50","oxandraacuminata","TRUE","Annonaceae"
"51","trichiliapleeana","TRUE","Meliaceae"
"52","oxandraespintana","TRUE","Annonaceae"
"53","ficuspertusa","TRUE","Moraceae"
"54","ficuscfsanguinosa","TRUE","Moraceae"
"55","clarisiaracemosa","TRUE","Moraceae"
"56","psittacanthuscucullaris","TRUE","Loranthaceae"
"57","cissuspseudosicyoides","TRUE","Ulmaceae"
"58","chrysochlamysulei","TRUE","Clusiaceae"
"59","tetraceraparviflora","TRUE","Dilleniaceae "
"60","spondiasmombin","TRUE","Anacardiaceae"
"61","styloginecauliflora","TRUE","Primulaceae"
"62","ingachartacea","TRUE","Fabaceae"
"63","euterpeprecatoria","TRUE","Arecaceae"
"64","ficustrigona","TRUE","Moraceae"
"65","caryodaphopsisfosterii","TRUE","Lauraceae"
"66","brosimumalicastrum","TRUE","Moraceae"
"67","justiciaappendiculata","TRUE","Acanthaceae"
"68","iresinehassleriana","TRUE","Amaranthaceae"
"69","ficussp2","TRUE","Moraceae"
"70","myrciariaamazonica","TRUE","Myrtaceae"
"71","guazumacrinita","TRUE","Malvaceae"
"72","pouroumacecropiaefolia","TRUE","Urticaceae"
"74","cordiasp","TRUE","Boraginaceae"
"75","pseudomalmeadiclina","TRUE","Annonaceae"
"76","lecointeaamazonica","TRUE","Fabaceae"
"77","quararibeawittii","TRUE","Malvaceae"
"78","psychotriaviridis","TRUE","Rubiaceae"
"79","philodendronsp","TRUE","Araceae"
"80","trichostigmaoctandra","TRUE","Phytolaccaceae"
"81","maynaodorata","TRUE","Achariaceae"
"82","jacaratiadigitata","TRUE","Caricaceae"
"83","trichiliapoeppigii","TRUE","Meliaceae"
"84","paulliniahystrix","TRUE","Sapindaceae"
"85","pouteriaprocera","TRUE","Sapotaceae"
"87","allophylusscrobiculatus","TRUE","Sapindaceae"
"88","nectandrapulverulenta","TRUE","Lauraceae"
"89","peperomiasp1","TRUE","Piperaceae"
"90","ficussp1","TRUE","Moraceae"
"91","odontocaryaarifolia","TRUE","Menispermaceae"
"92","vitexcymosa","TRUE","Myristicaceae"
"93","perabenensis","TRUE","Peraceae"
"94","lueheacymulosa","TRUE","Malvaceae"
"95","virolasebifera","TRUE","Myristicaceae"
"96","stigmaphyllonsp1","TRUE","Malpighiaceae"
"97","marcgraviasp","TRUE","Marcgraviaceae"
"98","iryantherajuruensis","TRUE","Myristicaceae"
"99","drypetesamazonica","TRUE","Putranjivaceae"
"100","otobaparvifolia","TRUE","Myristicaceae"
"101","pouteriapariry","TRUE","Sapotaceae"
"102","aspidospermamegaphyllum","TRUE","Apocynaceae"
"103","machaeriumsp2","TRUE","Fabaceae"
"104","tetrapterissp","TRUE","Malpighiaceae"
