"","Principal","Taxon.NombreActual","NombreMemoria","Name2015","Notes","CODIGO","Familia","Family.APG.IV.","Familia_APGIII..Stevens2015.","CodigoPBDY_14","CodigoPBDY_10","CodigoPBDY_09","Forma_2015","FormaPBDY_2011","FormaPBDY_2007","Forma_MV_2012","FormaSSP"
"1","si","Monocot sp. A","Monocot sp. A","","","MON_A","?","(unknown)","?","","","","-","","","S [??]",""
"2","si","uniden 'U5976'","uniden 'U5976'","","","U5976","??","(unknown)","","","","","-","","","",""
"3","si","Mendoncia sericea","Mendonicia glomerata","Mendoncia sericea","","MENDGL","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"4","si","Mendoncia pedunculata","Mendoncia 'rug'","Mendoncia pedunculata","","MENDRU","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"5","si","Mendoncia 'rug'","Mendoncia sp. G","","","MEND_G","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"6","si","Mendoncia hollenbergiae","Mendoncia sp. C","Mendoncia hollenbergiae","","MEND_C","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"7","si","Mendoncia sp. D","Mendoncia sp. D","","","MEND_D","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"8","si","Mendoncia sp. H","Mendoncia sp. H","","","MEND_H","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"9","si","Mendoncia sp. N","Mendonica sp. N","","","MEND_N","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"10","si","Mendoncia sp. O","Mendoncia sp. O","","","MEND_O","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"11","si","Mendoncia sp. S (mixed spp?)","Mendoncia sp. S","","","MEND_S","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"12","si","Mendoncia sp. T","Mendonica sp. T","","","MEND_T","Acanthaceae","Acanthaceae","Acanthaceae","","","","CW","","","V-lenosa",""
"13","si","Astronium graveolens","Astronium 'comun'","","","AST2CO","Anacardiaceae","Anacardiaceae","Anacardiaceae","ASTRGR","ASTRGR","ASTRGR","TC","T","T","T","T"
