yr Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
1981 329.89417 414.735 351.95637 200.70047 226.47914 25.407595 13.35506 23.390157 93.75369 244.94572 369.89464 176.32548
1982 255.91629 380.61017 376.42842 302.14539 140.35288 39.163744 19.301092 50.77036 125.39575 197.30209 347.43345 197.63593
1983 210.93899 349.90132 207.81164 223.43947 166.99061 26.747886 14.542433 25.838202 54.0593 69.38777 365.1583 167.15332
1984 444.1572 334.99139 233.86204 205.94169 81.737468 57.66549 25.912957 29.493859 98.04037 284.89601 379.3438 229.36245
1985 225.72675 234.89316 256.39875 175.9879 181.77044 24.268454 70.943769 49.555469 148.748565 217.62353 456.13778 203.95302
1986 290.98769 414.0741 350.98247 278.83029 191.96482 29.020742 19.918727 48.426619 99.42515 114.78343 410.69273 233.86553
1987 210.7753 237.19525 298.33189 140.41966 105.41735 24.575108 17.281541 20.386721 50.25512 130.51475 286.52837 179.91771
1988 251.19731 330.27277 244.04181 222.98313 87.51323 16.148239 20.135763 22.51106 59.89381 105.587769 273.57403 190.80266
1989 243.79124 182.60952 231.47426 251.0204 67.177833 54.416758 21.450385 29.126202 94.42324 177.88024 332.08788 186.15958
1990 172.63648 309.50175 228.58462 349.0004 129.43136 41.198376 17.575806 27.216388 74.50651 137.20672 299.65902 241.07757
1991 153.84978 323.70049 254.30552 187.82965 89.09284 44.518672 14.613672 22.994983 71.82746 126.67177 391.1835 209.09047
1992 132.17019 454.60172 341.98323 175.49573 130.47468 19.023986 36.117416 45.935511 127.67865 178.14216 595.612 374.48781
1993 364.81595 209.07137 397.63571 221.43056 142.2117 23.882448 13.104369 28.854699 117.200411 254.1216 447.1347 227.71101
1994 213.09013 487.42106 380.75261 322.43832 198.86536 41.214372 24.160771 17.783091 109.24088 164.27471 357.78167 297.15763
1995 161.4476 301.60596 245.25455 102.16766 93.378428 22.429153 26.952255 15.188658 108.0942 129.75461 236.86336 229.58864
1996 221.16443 279.49117 233.6435 205.46166 184.32555 17.157525 16.561056 53.949456 106.10035 141.98378 306.88459 166.510291
1997 227.88975 427.0793 311.68496 220.454681 49.819812 14.968748 20.098213 23.976501 92.65299 125.1301 410.09461 135.97906
1998 225.60619 312.95924 260.8878 187.70066 99.048769 28.163724 23.510895 56.18868 53.079432 202.25285 299.27036 203.12073
1999 254.08937 328.89723 279.50711 228.70787 95.891885 52.64859 25.462016 22.407769 165.97335 83.956356 260.08749 268.32475
2000 234.80917 366.89826 254.59363 155.57567 109.37464 44.46921 33.013027 38.880454 100.022269 151.55903 356.07638 139.67308
2001 262.129 404.14149 326.43988 333.91056 162.48769 43.261464 69.73435 26.421636 117.38927 243.26974 312.78266 262.53625
2002 200.40559 437.53836 212.0681 281.39153 165.66841 62.055262 38.10075 30.924461 76.14447 270.11509 196.22802 301.34028
2003 242.51024 392.73993 318.18724 287.55043 125.48041 76.14478 17.601836 40.071764 105.74243 228.89186 243.69398 203.98143
2004 315.7589 410.625189 266.73341 238.29334 72.57036 31.767671 31.15583 30.200089 98.35638 148.91507 258.86002 171.58953
2005 190.25532 476.08682 194.03515 174.62028 110.02259 31.418887 20.822233 24.480095 81.80253 155.42835 237.04779 162.04143
2006 303.21231 550.39599 182.89286 183.51571 108.837931 75.74754 32.764017 40.218786 94.663051 305.09587 237.72779 205.26766
2007 128.61344 502.1202 355.39333 239.03579 205.94439 22.695925 26.997145 24.569756 75.85941 216.94339 383.81997 197.5909
2008 184.9302 406.2435 265.58361 188.06421 103.18569 36.20827 23.320117 28.718117 66.2302 184.73688 229.22314 265.02618
2009 282.10398 325.13223 217.53514 214.24794 162.35059 28.347836 20.378764 27.893365 121.86961 104.26272 382.81753 216.29725
2010 206.99111 489.99343 213.09207 160.01114 125.23704 16.435696 28.502961 37.65553 98.4466 212.59468 287.02284 199.02912
2011 254.58101 524.1461 306.4865 325.73476 130.18577 31.38461 37.041917 36.700473 118.29738 152.75856 267.28182 231.14152
2012 248.4823 447.254 281.08233 314.00141 159.68759 45.017983 24.110967 22.964282 119.80061 110.72335 419.95712 205.63674
2013 242.27517 303.00278 251.45084 104.88444 204.98855 41.798955 25.514827 43.094198 56.19849 268.59199 267.32896 225.9258
2014 240.5008 329.95706 249.81911 202.87219 140.84576 46.334984 NA NA NA NA NA NA
