yr Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2000 22.4017056372858 22.2201834843077 22.1402300434728 21.8839955647787 21.5483928065146 20.8205678304037 18.7509232059602 21.2784185594128 22.3594380696615 22.5963063886089 23.2157023111979 23.3337026288433
2001 22.1808765042213 22.1463616507394 22.2355167511971 22.0980621337891 21.747218765751 18.8388478597005 20.2743843324723 20.9469031549269 22.1863871256511 23.3638313539567 23.6029612223308 22.6467460386215
2002 22.937394468246 22.6453665597098 22.5921540291079 22.4236185709636 22.263560436618 20.272689819336 20.2336571478075 21.5996485556326 22.3618672688802 23.1546097293977 23.1378682454427 24.0302378008443
2003 23.776031297253 22.6759342738561 22.3473567839592 21.8866170247396 21.6010878039945 21.1303731282552 19.5255735335812 19.761627000378 21.3000315348308 23.1230653824345 22.85888671875 22.9750226420741
2004 22.6145874023438 22.2301553660426 22.7581184633317 22.7380655924479 20.2814998503654 20.2947184244792 20.1575955298639 20.5521602507561 21.5522918701172 22.9329349640877 22.9376281738281 23.271134702621
2005 23.2431126748362 22.7279024396624 22.9595689342868 22.2799987792969 21.9432292322959 21.189360555013 18.8510169244582 21.5513205251386 21.9797871907552 23.2349339638987 23.6370625813802 23.1444493447581
2006 22.4285650437878 22.6929140363421 23.0677547331779 22.0635213216146 19.1380002913937 20.7265736897787 20.9816301899572 22.0320462134577 22.6699106852214 23.7262650028352 22.8825520833334 22.8833271641885
2007 23.1886840820313 22.8756554739816 22.3491750409526 22.329433186849 20.3897329022808 20.3684539794922 19.6352290984123 20.5332866053428 22.2419850667318 22.9120382985761 22.8310740152995 22.7089664582283
2008 22.5220521988407 22.0602903168777 21.9270893712198 21.8492045084636 20.1899421938004 19.1338012695313 20.5756912723665 21.9291970529864 22.6025370279948 23.2653471915953 23.8444346110026 22.910535061744
2009 22.4039147161669 22.7473639351981 22.419567280431 22.2179077148438 22.152717639554 20.104741414388 20.6689874464466 21.6947925198463 22.7722971598308 24.3205653036795 24.3574249267578 23.5866490517893
2010 23.1780619959678 23.6395246233259 23.5741831133443 22.7466888427735 21.5682134812878 20.943256632487 19.645639530305 20.4024390435988 23.0198211669922 23.1160788259199 22.957660929362 23.2924694430444
2011 22.6774162046371 22.3470757620675 22.3204658754411 22.4456451416016 21.3617482831401 21.1940165201823 21.0852324455015 21.3669894310736 22.7313313802084 23.0836169827369 23.5151570638021 23.0009547079763
2012 22.572168953188 22.1511790308459 22.1853497905116 22.2692209879558 21.4851406958796 20.6899709065755 19.2779411069809 20.7023726924773 22.0774881998698 23.2043553506175 24.1100351969401 23.0329755229335
2013 22.8404184649068 22.7429628644671 22.8872757450227 21.9053568522136 21.5998946651336 21.5568186442058 19.9064594884073 19.6956814673639 22.6308400472005 23.2119965584048 23.2176442464193 23.3037717757687
2014 22.5439815398186 22.5148581368583 NA NA NA NA NA NA NA NA NA NA
