yr Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2000 21.7017495432208 21.544963126347 21.7839688208796 22.0172454833985 21.8477810767389 21.4708892822266 20.8887967017389 21.0643997684602 21.5844655354818 21.9431583527596 22.4797180175781 21.8497351861769
2001 21.1694156769783 21.7501650129046 22.1796420189642 21.9639760335287 22.1089642924647 20.7116872151693 21.0661018617692 20.6203493179814 21.8121887207031 22.7058192099295 22.4364115397136 22.5730323053176
2002 22.1809188350555 22.1605185372489 22.3970394011467 22.0309275309245 21.9470833070817 20.9729990641276 21.0419467064642 20.9438632103705 21.799116007487 22.3395659415953 21.9910024007162 22.5757966072329
2003 22.5535286195817 22.2142381940569 21.5127148043725 21.5724426269531 21.3852615848665 20.638319905599 19.8317573793473 20.3595657840852 20.7063751220703 21.7920471191406 21.5528747558594 21.9948147681452
2004 21.7125576880671 21.168333066743 21.4128819619456 21.9642486572266 22.1543271956905 21.5990956624349 21.351702093309 20.6755802277596 21.6634379069011 22.0036284415953 22.0766306559245 21.6445340064264
2005 21.6595506237399 22.7659044538226 22.4951927923387 22.2455118815104 21.6451384513609 21.6321248372396 20.7522836992818 20.8145159321447 21.586610921224 22.1088382844002 21.9165344238281 21.3813740391885
2006 21.7013577368952 22.2613529750279 22.0623708417339 21.9142608642578 21.6963833716608 21.1793365478516 21.4844309160787 21.4547117171749 21.6869242350261 22.2526302214592 22.1862660725912 22.1739568894909
2007 22.4499824770036 21.83779296875 21.7661879016507 22.2142313639323 21.7960144042969 21.3330474853516 20.8785388577369 20.935940453314 21.5934366861979 21.7046752929688 22.0847412109375 21.9837034163937
2008 21.9750659573463 21.4511457772091 21.5859156454763 21.7847971598308 21.5680736910913 21.427680460612 21.2476863738029 21.4438602570565 21.6095896402995 21.8225696194557 22.2292958577474 21.6777922599547
2009 21.5402347687752 21.5584503173828 21.794823234312 21.8761515299479 21.4868181782384 21.1084279378255 21.3753226987777 21.6270100255167 21.9162322998047 22.2097264443675 22.6282206217448 22.3466391286543
2010 22.3882060389365 22.8445994785854 22.9206107847152 22.5626759847005 22.2263486800655 21.4784149169922 20.7319934475807 21.1665676978327 21.2831512451172 22.1937765798261 21.9414662679037 21.6053454983619
2011 21.997202030305 21.6883843558175 21.6520186885711 21.7266204833985 21.7393403084048 21.9393809000651 21.3317701770414 21.7473201628654 21.7434631347656 22.1706895397556 21.9680267333985 21.784313374181
2012 21.7359508883569 21.1379565008756 21.6736034762475 21.5320902506511 21.780412046371 21.5623647054037 21.2894226074219 21.0552287440146 21.2341461181641 22.1577687909526 22.5272583007813 21.8815522224673
2013 22.7075872605847 22.1495343889509 22.1366850822203 21.9589467366537 21.953512671686 21.9146484375 21.1316575573337 21.2648195328251 21.4442942301433 21.9439232610887 21.873031616211 21.9907421481225
2014 21.9791307018649 21.9007485525949 NA NA NA NA NA NA NA NA NA NA
